,UNIT_ID,ALARM_DATE,CONT_DATE,CAUSE,SHAPE_Area,NumberOfDays
17268,LAC,2010-07-17 00:00:00+00:00,2010-07-17 00:00:00+00:00,14 - Unkown / Unidentified,-1030851.242,0 days
17269,LAC,2010-07-23 00:00:00+00:00,2010-07-23 00:00:00+00:00,14 - Unkown / Unidentified,-201309.6706,0 days
17270,LAC,2010-07-29 00:00:00+00:00,2010-07-29 00:00:00+00:00,2 - Equipment Use,-730716.298,0 days
17271,LAC,2010-07-29 00:00:00+00:00,2010-08-02 00:00:00+00:00,2 - Equipment Use,-75287110.22,4 days
17272,LAC,2010-08-08 00:00:00+00:00,2010-08-08 00:00:00+00:00,3 - Infared,-266319.3073,0 days
17273,LAC,2010-08-31 00:00:00+00:00,2010-08-31 00:00:00+00:00,10 - Vehicle,-95006.46266,0 days
17274,LAC,2010-09-13 00:00:00+00:00,2010-09-13 00:00:00+00:00,14 - Unkown / Unidentified,-135794.8871,0 days
17275,LAC,2010-09-16 00:00:00+00:00,2010-09-16 00:00:00+00:00,10 - Vehicle,-66082.6675,0 days
17276,LAC,2010-06-28 00:00:00+00:00,2010-06-28 00:00:00+00:00,14 - Unkown / Unidentified,-6652.094567,0 days
17277,LAC,2010-07-02 00:00:00+00:00,2010-07-02 00:00:00+00:00,2 - Equipment Use,-113589.5546,0 days
17278,LAC,2010-09-15 00:00:00+00:00,2010-09-15 00:00:00+00:00,14 - Unkown / Unidentified,-29535.97936,0 days
17495,LAC,2011-05-02 00:00:00+00:00,2011-05-02 00:00:00+00:00,2 - Equipment Use,-687484.4289,0 days
17496,LAC,2011-07-02 00:00:00+00:00,2011-07-02 00:00:00+00:00,14 - Unkown / Unidentified,-481904.859,0 days
17497,LAC,2011-07-10 00:00:00+00:00,2011-07-10 00:00:00+00:00,9 - Miscellaneous,-555.5053303,0 days
17498,LAC,2011-05-23 00:00:00+00:00,2011-05-23 00:00:00+00:00,14 - Unkown / Unidentified,-166418.0331,0 days
17499,LAC,2011-08-27 00:00:00+00:00,2011-08-27 00:00:00+00:00,1 - Lightning,-681525.9761,0 days
17500,LAC,2011-07-09 00:00:00+00:00,2011-07-09 00:00:00+00:00,2 - Equipment Use,-175832.1344,0 days
17501,LAC,2011-07-07 00:00:00+00:00,2011-07-07 00:00:00+00:00,2 - Equipment Use,-14442.03315,0 days
17502,LAC,2011-08-02 00:00:00+00:00,2011-08-02 00:00:00+00:00,9 - Miscellaneous,-4416.222535,0 days
17503,LAC,2011-06-23 00:00:00+00:00,2011-06-23 00:00:00+00:00,14 - Unkown / Unidentified,-301732.2963,0 days
17504,LAC,2011-05-03 00:00:00+00:00,2011-05-03 00:00:00+00:00,2 - Equipment Use,-342673.222,0 days
17505,LAC,2011-08-24 00:00:00+00:00,2011-08-24 00:00:00+00:00,5 - Debris,-102933.2604,0 days
17506,LAC,2011-09-02 00:00:00+00:00,2011-09-02 00:00:00+00:00,1 - Lightning,-221025.9217,0 days
17507,LAC,2011-08-24 00:00:00+00:00,2011-08-24 00:00:00+00:00,9 - Miscellaneous,-7738.202657,0 days
17508,LAC,2011-09-23 00:00:00+00:00,2011-09-23 00:00:00+00:00,1 - Lightning,-797048.2621,0 days
17509,LAC,2011-01-14 00:00:00+00:00,2011-01-14 00:00:00+00:00,9 - Miscellaneous,-554.7464735,0 days
17510,LAC,2011-09-08 00:00:00+00:00,2011-09-08 00:00:00+00:00,14 - Unkown / Unidentified,-253622.87,0 days
17511,LAC,2011-07-27 00:00:00+00:00,2011-07-27 00:00:00+00:00,14 - Unkown / Unidentified,-142072.359,0 days
17512,LAC,2011-08-27 00:00:00+00:00,2011-08-27 00:00:00+00:00,1 - Lightning,-2120391.733,0 days
17513,LAC,2011-09-23 00:00:00+00:00,2011-09-23 00:00:00+00:00,14 - Unkown / Unidentified,-493332.066,0 days
17514,LAC,2011-08-08 00:00:00+00:00,2011-08-08 00:00:00+00:00,14 - Unkown / Unidentified,-139721.4117,0 days
17515,LAC,2011-08-22 00:00:00+00:00,2011-08-22 00:00:00+00:00,14 - Unkown / Unidentified,-163843.2785,0 days
17516,LAC,2011-10-31 00:00:00+00:00,2011-10-31 00:00:00+00:00,10 - Vehicle,-555.2237239,0 days
17517,LAC,2011-05-28 00:00:00+00:00,2011-05-28 00:00:00+00:00,10 - Vehicle,-1448829.953,0 days
17518,LAC,2011-06-22 00:00:00+00:00,2011-06-22 00:00:00+00:00,14 - Unkown / Unidentified,-646456.1851,0 days
